CATEGORIA_,decimalLatitude,decimalLongitude,TIPO_den,año,TIPO_inf
"4",10.034,-84.154,Mineria,"2018",extraccion tajo
"1",10.331,-84.455,Agua ,"2018",obras no autorizadas en cauce
"4",10.176,-85.817,Mineria,"2018",sedimentacion cuerpo agua
"4",10.427,-85.792,Mineria,"2018",sedimentacion cuerpo agua
"3",9.93,-84.073,Suelos,"2019",erosion
"3",9.642,-85.169,Suelos,"2019",erosion
"3",10.541,-85.693,Suelos,"2019",movimiento 
"0",10.444,-85.772,Forestal ,"2018",Invasion ASP 
"0",10.301,-84.803,Forestal ,"2018",Invasion ASP 
"2",9.641,-85.168,Vida silvestre,"2018",tenencia ilegal
"3",9.07,-83.656,Suelos,"2019",movimiento 
"5",9.405,-84.157,Contaminacion aire ,"2019",mal olor
"4",9.989,-84.2,Mineria,"2018",sedimentacion cuerpo agua
"2",10.442,-84.005,Vida silvestre,"2019",tenencia ilegal
"3",10.584,-85.656,Suelos,"2019",movimiento 
"3",9.98,-85.657,Suelos,"2019",contaminacion
"0",8.637,-83.165,Forestal ,"2018",Invasion ASP 
"3",8.638,-83.167,Suelos,"2019",movimiento 
"2",8.636,-83.168,Vida silvestre,"2019",caceria
"1",9.93,-84.082,Agua ,"2018",obras no autorizadas en cauce
"0",9.975,-84.833,Forestal ,"2018",Tala
"4",9.93,-84.078,Mineria,"2018",extraccion tajo
"4",9.93,-84.093,Mineria,"2018",extraccion tajo
"1",9.922,-84.072,Agua ,"2018",contaminacion
"3",10.149,-85.806,Suelos,"2019",movimiento 
"1",9.907,-84.44,Agua ,"2018",contaminacion
"3",9.869,-85.492,Suelos,"2019",contaminacion
"2",10.723,-85.419,Vida silvestre,"2019",caceria
"3",10.448,-85.129,Suelos,"2019",movimiento 
"4",10.328,-85.815,Mineria,"2018",extraccion tajo
"3",9.959,-83.942,Suelos,"2019",erosion
"4",9.99,-84.2,Mineria,"2018",sedimentacion cuerpo agua
"0",10.006,-83.058,Forestal ,"2019",Incendio 
