Agua;Aire;Forestal;Suelo;Vida silvestre;Mineria;anio;decimalLatitude;decimalLongitude;Tipo
0;1;0;0;0;0;2019;10,584;-85,635;emision particulas
0;1;0;0;0;0;2019;10,063;-84,078;emision particulas
0;1;0;0;0;0;2019;10,625;-85,676;emision particulas
0;1;0;0;0;0;2019;9,612;-84,629;emision particulas
0;1;0;0;0;0;2019;10,009;-84,276;mal olor
0;1;0;0;0;0;2019;9,977;-84,163;emision particulas
0;1;0;0;0;0;2019;10,637;-85,642;emision particulas
0;1;0;0;0;0;2019;10,396;-85,809;emision particulas
0;1;0;0;0;0;2019;9,851;-85,401;emision particulas
0;1;0;0;0;0;2019;9,941;-84,171;mal olor
0;1;0;0;0;0;2019;9,95;-84,079;mal olor
0;1;0;0;0;0;2019;9,796;-83,886;mal olor
0;1;0;0;0;0;2018;9,943;-84,156;emision particulas
0;1;0;0;0;0;2018;10,483;-84,697;mal olor
0;1;0;0;0;0;2018;10,572;-85,677;mal olor
0;1;0;0;0;0;2018;9,643;-84,627;mal olor
0;0;1;0;0;0;2019;10,07;-84,309;Tala
0;0;1;0;0;0;2019;9,972;-85,685;Incendio
0;0;1;0;0;0;2019;9,658;-85,058;Invasion ASP
0;0;1;0;0;0;2019;9,934;-84,065;Invasion ASP
0;0;1;0;0;0;2019;9,932;-84,068;Anillado arboles
0;0;1;0;0;0;2019;10,574;-85,676;Tala
0;0;1;0;0;0;2019;9,93;-84,07;Invasion ASP
0;0;1;0;0;0;2019;9,936;-84,066;Anillado arboles
0;0;1;0;0;0;2019;9,815;-85,332;Incendio
0;0;1;0;0;0;2019;10,475;-84,689;Anillado arboles
0;0;1;0;0;0;2019;10,459;-84,693;Anillado arboles
0;0;1;0;0;0;2019;9,612;-84,631;Anillado arboles
0;0;1;0;0;0;2019;9,333;-83,503;Invasion ASP
0;0;1;0;0;0;2019;10,574;-85,675;Incendio
0;0;1;0;0;0;2019;9,735;-82,842;Incendio
0;0;1;0;0;0;2019;8,535;-83,307;Invasion ASP
0;0;1;0;0;0;2019;9,96;-84,133;Anillado arboles
0;0;1;0;0;0;2019;9,715;-85,017;Anillado arboles
0;0;1;0;0;0;2019;10,387;-85,836;Invasion ASP
0;0;1;0;0;0;2019;10,428;-85,791;Tala
0;0;1;0;0;0;2019;9,379;-84,143;Incendio
0;0;1;0;0;0;2019;10,296;-85,841;Tala
0;0;1;0;0;0;2019;10,466;-84,67;Incendio
0;0;1;0;0;0;2019;9,615;-84,633;Anillado arboles
0;0;1;0;0;0;2019;9,166;-83,741;Anillado arboles
0;0;1;0;0;0;2019;9,935;-84,074;Incendio
0;0;1;0;0;0;2018;9,379;-84,144;Anillado arboles
0;0;1;0;0;0;2018;9,654;-82,754;Incendio
0;0;1;0;0;0;2018;8,646;-82,943;Invasion ASP
0;0;1;0;0;0;2018;9,611;-84,63;Invasion ASP
0;0;1;0;0;0;2018;10,57;-85,675;Tala
0;0;1;0;0;0;2018;10,017;-84,214;Anillado arboles
0;0;1;0;0;0;2018;10,486;-84,687;Incendio
0;0;1;0;0;0;2018;9,249;-83,864;Anillado arboles
0;0;1;0;0;0;2018;9,25;-83,864;Anillado arboles
0;0;1;0;0;0;2018;9,252;-83,863;Incendio
0;0;1;0;0;0;2018;9,613;-84,631;Incendio
0;0;1;0;0;0;2018;9,617;-84,635;Invasion ASP
0;0;1;0;0;0;2018;10,32;-84,822;Incendio
0;0;1;0;0;0;2018;9,927;-84,099;Incendio
0;0;1;0;0;0;2018;10,493;-84,712;Invasion ASP
0;0;1;0;0;0;2018;10,225;-83,92;Tala
0;0;1;0;0;0;2018;8,789;-82,957;Tala
0;0;1;0;0;0;2018;10,356;-85,368;Anillado arboles
0;0;1;0;0;0;2018;10,444;-85,772;Invasion ASP
0;0;1;0;0;0;2018;10,301;-84,803;Invasion ASP
0;0;1;0;0;0;2018;8,637;-83,165;Invasion ASP
0;0;1;0;0;0;2018;9,975;-84,833;Tala
0;0;1;0;0;0;2019;10,006;-83,058;Incendio
0;0;1;0;0;0;2019;9,931;-84,082;Anillado arboles
0;0;1;0;0;0;2019;9,527;-84,478;Invasion ASP
0;0;1;0;0;0;2019;10,298;-84,818;Incendio
0;0;1;0;0;0;2019;10,783;-85,043;Invasion ASP
0;0;1;0;0;0;2019;10,437;-84,732;Tala
0;0;1;0;0;0;2019;9,931;-84,072;Tala
0;0;1;0;0;0;2019;10,403;-85,794;Tala
0;0;1;0;0;0;2019;10,552;-83,51;Invasion ASP
0;0;1;0;0;0;2019;8,537;-83,306;Invasion ASP
0;0;1;0;0;0;2019;9,928;-84,105;Tala
0;0;1;0;0;0;2019;9,994;-85,703;Incendio
0;0;1;0;0;0;2019;10,333;-83,954;Tala
0;0;1;0;0;0;2019;10,771;-83,594;Tala
0;0;1;0;0;0;2019;8,787;-83,624;Tala
0;0;1;0;0;0;2019;9,737;-82,841;Invasion ASP
0;0;1;0;0;0;2019;10,302;-85,837;Invasion ASP
0;0;1;0;0;0;2019;10,573;-85,677;Invasion ASP
0;0;1;0;0;0;2019;10,549;-85,696;Tala
0;0;1;0;0;0;2019;10,301;-84,803;Incendio
0;0;1;0;0;0;2019;9,484;-84,3;Tala
0;0;1;0;0;0;2018;9,409;-84,153;Tala
0;0;1;0;0;0;2018;9,639;-82,687;Tala
0;0;1;0;0;0;2018;9,669;-83,975;Tala
0;0;0;0;0;1;2019;10,527;-85,781;extraccion tajo
0;0;0;0;0;1;2019;9,607;-84,62;extraccion tajo
0;0;0;0;0;1;2019;9,936;-84,077;extraccion tajo
0;0;0;0;0;1;2019;10,499;-84,693;extraccion tajo
0;0;0;0;0;1;2019;10,484;-84,686;sedimentacion cuerpo agua
0;0;0;0;0;1;2019;9,395;-84,155;sedimentacion cuerpo agua
0;0;0;0;0;1;2019;10,443;-85,773;sedimentacion cuerpo agua
0;0;0;0;0;1;2019;10,541;-85,728;extraccion tajo
0;0;0;0;0;1;2019;9,931;-84,075;extraccion materiales cauce
0;0;0;0;0;1;2019;9,937;-84,102;extraccion materiales cauce
0;0;0;0;0;1;2019;10,273;-85,848;extraccion materiales cauce
0;0;0;0;0;1;2019;9,966;-84,136;extraccion materiales cauce
0;0;0;0;0;1;2019;9,614;-84,63;extraccion tajo
0;0;0;0;0;1;2019;9,419;-84,158;extraccion tajo
0;0;0;0;0;1;2019;10,805;-85,412;sedimentacion cuerpo agua
0;0;0;0;0;1;2019;9,977;-84,087;sedimentacion cuerpo agua
0;0;0;0;0;1;2019;9,931;-84,06;sedimentacion cuerpo agua
0;0;0;0;0;1;2019;10,272;-85,847;extraccion tajo
0;0;0;0;0;1;2019;9,929;-84,059;sedimentacion cuerpo agua
0;0;0;0;0;1;2019;8,636;-83,165;sedimentacion cuerpo agua
0;0;0;0;0;1;2019;9,908;-84,071;sedimentacion cuerpo agua
0;0;0;0;0;1;2019;10,585;-85,657;extraccion tajo
0;0;0;0;0;1;2019;8,438;-83,429;sedimentacion cuerpo agua
0;0;0;0;0;1;2019;9,442;-84,166;sedimentacion cuerpo agua
0;0;0;0;0;1;2019;10,571;-85,678;sedimentacion cuerpo agua
0;0;0;0;0;1;2019;9,976;-84,185;extraccion tajo
0;0;0;0;0;1;2019;9,976;-84,168;sedimentacion cuerpo agua
0;0;0;0;0;1;2019;9,944;-84,155;sedimentacion cuerpo agua
0;0;0;0;0;1;2019;9,118;-83,697;sedimentacion cuerpo agua
0;0;0;0;0;1;2018;8,532;-83,3;extraccion tajo
0;0;0;0;0;1;2018;9,203;-83,797;extraccion tajo
0;0;0;0;0;1;2018;9,606;-84,612;sedimentacion cuerpo agua
0;0;0;0;0;1;2018;9,944;-84,068;extraccion tajo
0;0;0;0;0;1;2018;11,065;-85,672;extraccion tajo
0;0;0;0;0;1;2018;9,974;-84,19;sedimentacion cuerpo agua
0;0;0;0;0;1;2018;10,215;-84,295;sedimentacion cuerpo agua
0;0;0;0;0;1;2018;9,973;-84,744;sedimentacion cuerpo agua
0;0;0;0;0;1;2018;10,034;-84,154;extraccion tajo
0;0;0;0;0;1;2018;10,176;-85,817;sedimentacion cuerpo agua
0;0;0;0;0;1;2018;10,427;-85,792;sedimentacion cuerpo agua
0;0;0;0;0;1;2018;9,989;-84,2;sedimentacion cuerpo agua
0;0;0;0;0;1;2018;9,93;-84,078;extraccion tajo
0;0;0;0;0;1;2018;9,93;-84,093;extraccion tajo
0;0;0;0;0;1;2018;10,328;-85,815;extraccion tajo
0;0;0;0;0;1;2018;9,99;-84,2;sedimentacion cuerpo agua
0;0;0;0;0;1;2018;9,975;-84,159;extraccion tajo
0;0;0;0;0;1;2018;9,936;-84,076;extraccion tajo
0;0;0;0;0;1;2018;8,405;-83,282;sedimentacion cuerpo agua
0;0;0;0;0;1;2018;9,919;-84,138;extraccion tajo
0;0;0;0;0;1;2018;9,94;-84,013;extraccion tajo
0;0;0;0;0;1;2018;10,582;-85,66;sedimentacion cuerpo agua
0;0;0;0;0;1;2018;10,64;-85,651;extraccion tajo
0;0;0;0;0;1;2018;10,377;-84,376;extraccion tajo
0;0;0;0;0;1;2018;9,936;-84,097;extraccion tajo
0;0;0;0;0;1;2018;10,542;-85,722;extraccion tajo
0;0;0;0;0;1;2018;9,421;-84,158;extraccion tajo
0;0;0;0;0;1;2018;9,599;-84,319;sedimentacion cuerpo agua
0;0;0;0;0;1;2018;9,932;-84,097;extraccion tajo
0;0;0;0;0;1;2018;9,931;-84,071;sedimentacion cuerpo agua
0;0;0;0;0;1;2018;9,699;-84,667;extraccion tajo
0;0;0;0;0;1;2018;9,974;-84,156;extraccion tajo
0;0;0;0;0;1;2018;9,429;-84,161;extraccion tajo
0;0;0;0;0;1;2018;9,155;-83,748;extraccion tajo
0;0;0;0;0;1;2018;9,442;-84,166;extraccion tajo
0;0;0;0;0;1;2018;9,932;-84,075;sedimentacion cuerpo agua
0;0;0;0;0;1;2018;10,206;-83,782;extraccion tajo
0;0;0;0;0;1;2018;10,298;-85,84;extraccion tajo
0;0;0;0;0;1;2018;9,716;-85,018;extraccion tajo
0;0;0;0;0;1;2018;10,459;-84,462;extraccion tajo
0;0;0;0;0;1;2018;9,484;-84,299;sedimentacion cuerpo agua
0;0;0;0;0;1;2019;9,936;-84,099;sedimentacion cuerpo agua
0;0;0;0;0;1;2018;9,94;-84,077;sedimentacion cuerpo agua
0;0;0;0;0;1;2018;9,926;-84,141;sedimentacion cuerpo agua
0;0;0;0;0;1;2018;10,575;-85,676;sedimentacion cuerpo agua
0;0;0;0;0;1;2018;9,897;-84,137;sedimentacion cuerpo agua
0;0;0;0;0;1;2018;10,05;-84,206;sedimentacion cuerpo agua
0;0;0;0;0;1;2018;9,973;-84,849;extraccion tajo
0;0;0;0;0;1;2018;9,917;-84,141;extraccion tajo
0;0;0;0;0;1;2018;9,83;-83,652;extraccion tajo
0;0;0;1;0;0;2019;10,005;-84,177;contaminacion
0;0;0;1;0;0;2019;9,973;-84,848;erosion
0;0;0;1;0;0;2019;9,628;-82,661;quema
0;0;0;1;0;0;2019;9,902;-84,425;movimiento
0;0;0;1;0;0;2019;9,932;-84,091;contaminacion
0;0;0;1;0;0;2019;9,995;-84,116;quema
0;0;0;1;0;0;2019;10,462;-84,643;movimiento
0;0;0;1;0;0;2019;10,459;-84,741;movimiento
0;0;0;1;0;0;2019;10,499;-84,694;quema
0;0;0;1;0;0;2019;10,497;-84,689;contaminacion
0;0;0;1;0;0;2019;10,49;-84,687;contaminacion
0;0;0;1;0;0;2019;9,932;-84,055;contaminacion
0;0;0;1;0;0;2019;10,387;-85,836;erosion
0;0;0;1;0;0;2019;10,293;-84,804;movimiento
0;0;0;1;0;0;2019;10,623;-85,445;movimiento
0;0;0;1;0;0;2019;10,61;-85,434;erosion
0;0;0;1;0;0;2019;9,935;-84,081;quema
0;0;0;1;0;0;2019;11,051;-85,623;erosion
0;0;0;1;0;0;2019;9,934;-84,074;erosion
0;0;0;1;0;0;2019;10,065;-84,246;erosion
0;0;0;1;0;0;2019;9,443;-84,165;erosion
0;0;0;1;0;0;2019;9,45;-84,11;erosion
0;0;0;1;0;0;2019;10,191;-85,728;erosion
0;0;0;1;0;0;2019;10,301;-85,838;erosion
0;0;0;1;0;0;2018;9,642;-82,729;contaminacion
0;0;0;1;0;0;2018;10,453;-84,637;erosion
0;0;0;1;0;0;2018;9,945;-84,132;erosion
0;0;0;1;0;0;2018;10,733;-85,028;quema
0;0;0;1;0;0;2018;9,934;-84,095;erosion
0;0;0;1;0;0;2018;10,032;-84,091;erosion
0;0;0;1;0;0;2018;9,613;-84,632;contaminacion
0;0;0;1;0;0;2018;10,547;-85,696;erosion
0;0;0;1;0;0;2018;9,817;-84,11;quema
0;0;0;1;0;0;2018;9,736;-82,842;erosion
0;0;0;1;0;0;2018;10,396;-85,808;erosion
0;0;0;1;0;0;2018;9,926;-84,212;erosion
0;0;0;1;0;0;2018;10,578;-85,666;erosion
0;0;0;1;0;0;2018;9,715;-85,017;contaminacion
0;0;0;1;0;0;2018;9,932;-84,076;movimiento
0;0;0;1;0;0;2018;9,929;-84,101;movimiento
0;0;0;1;0;0;2018;9,417;-84,159;contaminacion
0;0;0;1;0;0;2018;9,938;-84,102;erosion
0;0;0;1;0;0;2018;9,931;-84,079;quema
0;0;0;1;0;0;2018;9,932;-84,074;erosion
0;0;0;1;0;0;2018;9,374;-83,704;erosion
0;0;0;1;0;0;2018;9,417;-84,159;quema
0;0;0;1;0;0;2018;9,928;-84,091;erosion
0;0;0;1;0;0;2018;9,977;-84,184;erosion
0;0;0;1;0;0;2018;9,935;-84,075;contaminacion
0;0;0;1;0;0;2018;9,413;-84,157;contaminacion
0;0;0;1;0;0;2018;10,455;-84,557;contaminacion
0;0;0;1;0;0;2019;10,56;-84,938;contaminacion
0;0;0;1;0;0;2018;9,934;-84,073;erosion
0;0;0;1;0;0;2019;9,606;-84,625;erosion
0;0;0;1;0;0;2019;10,313;-84,817;movimiento
0;0;0;1;0;0;2019;10,296;-85,842;movimiento
0;0;0;1;0;0;2019;10,585;-85,657;movimiento
0;0;0;1;0;0;2019;9,944;-84,07;movimiento
0;0;0;1;0;0;2019;8,706;-83,182;erosion
0;0;0;1;0;0;2019;10,243;-85,707;quema
0;0;0;1;0;0;2019;9,933;-84,079;erosion
0;0;0;1;0;0;2019;9,93;-84,073;erosion
0;0;0;1;0;0;2019;9,642;-85,169;erosion
0;0;0;1;0;0;2019;10,541;-85,693;movimiento
0;0;0;1;0;0;2019;9,07;-83,656;movimiento
0;0;0;1;0;0;2019;10,584;-85,656;movimiento
0;0;0;1;0;0;2019;9,98;-85,657;contaminacion
0;0;0;1;0;0;2019;8,638;-83,167;movimiento
0;0;0;1;0;0;2019;10,149;-85,806;movimiento
0;0;0;1;0;0;2019;9,869;-85,492;contaminacion
0;0;0;1;0;0;2019;10,448;-85,129;movimiento
0;0;0;1;0;0;2019;9,959;-83,942;erosion
0;0;0;1;0;0;2019;9,936;-85,667;movimiento
0;0;0;1;0;0;2019;10,311;-84,822;erosion
0;0;0;1;0;0;2019;10,574;-85,673;erosion
0;0;0;1;0;0;2019;10,319;-84,822;movimiento
0;0;0;1;0;0;2019;10,148;-85,806;erosion
0;0;0;1;0;0;2019;9,609;-84,627;quema
0;0;0;1;0;0;2019;9,405;-84,158;erosion
0;0;0;1;0;0;2019;10,324;-84,432;movimiento
0;0;0;1;0;0;2019;10,304;-85,836;movimiento
0;0;0;1;0;0;2019;10,571;-85,678;movimiento
0;0;0;1;0;0;2019;10,468;-84,644;contaminacion
0;0;0;1;0;0;2019;10,36;-84,474;contaminacion
0;0;0;1;0;0;2019;10,628;-85,435;erosion
0;0;0;1;0;0;2019;9,379;-84,144;movimiento
0;0;0;1;0;0;2019;9,39;-84,151;erosion
0;0;0;1;0;0;2019;8,693;-83,676;quema
0;0;0;1;0;0;2019;10,466;-84,665;movimiento
0;0;0;1;0;0;2019;10,549;-85,697;erosion
0;0;0;1;0;0;2019;10,397;-84,134;erosion
0;0;0;1;0;0;2019;9,937;-84,103;erosion
0;0;0;1;0;0;2019;10,467;-84,632;movimiento
0;0;0;1;0;0;2019;10,009;-84,241;erosion
0;0;0;1;0;0;2019;9,639;-82,686;movimiento
0;0;0;1;0;0;2019;10,335;-85,848;erosion
0;0;0;1;0;0;2019;9,928;-84,058;contaminacion
0;0;0;1;0;0;2019;10,473;-84,615;erosion
0;0;0;1;0;0;2018;9,93;-84,058;erosion
0;0;0;1;0;0;2018;9,995;-85,695;contaminacion
0;0;0;1;0;0;2018;8,535;-83,306;quema
0;0;0;1;0;0;2018;10,466;-84,664;movimiento
0;0;0;1;0;0;2018;9,612;-84,627;erosion
0;0;0;1;0;0;2018;9,106;-83,691;quema
0;0;0;1;0;0;2018;8,723;-83,648;movimiento
0;0;0;1;0;0;2018;10,501;-84,698;erosion
0;0;0;1;0;0;2018;10,063;-84,079;movimiento
0;0;0;1;0;0;2018;10,319;-84,512;movimiento
0;0;0;1;0;0;2018;9,521;-84,449;movimiento
0;0;0;1;0;0;2018;10,32;-84,821;contaminacion
0;0;0;1;0;0;2018;10,292;-84,831;movimiento
0;0;0;1;0;0;2018;10,318;-84,823;movimiento
0;0;0;1;0;0;2018;10,536;-85,671;movimiento
0;0;0;1;0;0;2018;10,889;-84,787;quema
0;0;0;1;0;0;2018;10,31;-84,816;contaminacion
0;0;0;1;0;0;2018;9,931;-84,073;movimiento
0;0;0;1;0;0;2018;9,972;-84,163;quema
0;0;0;1;0;0;2018;9,409;-84,154;erosion
0;0;0;1;0;0;2018;9,992;-83,032;movimiento
0;0;0;1;0;0;2018;10,285;-84,185;movimiento
0;0;0;1;0;0;2018;9,625;-85,15;movimiento
0;0;0;1;0;0;2018;9,427;-84,161;movimiento
0;0;0;1;0;0;2018;9,949;-84,108;movimiento
0;0;0;1;0;0;2018;10,179;-84,152;movimiento
0;0;0;1;0;0;2018;9,618;-84,631;contaminacion
0;0;0;1;0;0;2018;9,614;-84,632;quema
0;0;0;1;0;0;2018;10,293;-84,931;quema
0;0;0;1;0;0;2018;9,973;-84,164;contaminacion
0;0;0;1;0;0;2018;10,513;-85,646;movimiento
0;0;0;1;0;0;2018;10,085;-84,466;movimiento
0;0;0;1;0;0;2018;9,928;-84,104;movimiento
0;0;0;1;0;0;2018;10,304;-83,351;quema
0;0;0;1;0;0;2018;9,932;-84,092;erosion
0;0;0;1;0;0;2018;9,931;-84,08;quema
0;0;0;1;0;0;2018;9,67;-83,975;contaminacion
0;0;0;1;0;0;2018;9,878;-85,523;movimiento
0;0;0;1;0;0;2018;9,93;-84,107;movimiento
0;0;0;1;0;0;2018;10,095;-84,378;movimiento
0;0;0;1;0;0;2018;9,813;-83,863;movimiento
0;0;0;1;0;0;2018;9,935;-84,077;movimiento
0;0;0;1;0;0;2018;10,452;-84,007;quema
0;0;0;1;0;0;2018;10,449;-84,062;quema
0;0;0;1;0;0;2018;8,636;-83,167;quema
0;0;0;1;0;0;2018;9,99;-83,032;movimiento
0;0;0;1;0;0;2018;10,338;-83,958;quema
0;0;0;1;0;0;2018;10,473;-85,781;quema
0;0;0;1;0;0;2018;9,717;-82,819;contaminacion
0;0;0;1;0;0;2018;10,502;-84,702;movimiento
0;0;0;1;0;0;2018;9,93;-84,083;movimiento
0;0;0;1;0;0;2018;10,211;-83,789;erosion
0;0;0;1;0;0;2018;10,308;-85,819;movimiento
0;0;0;1;0;0;2018;9,69;-85,103;movimiento
0;0;0;1;0;0;2018;10,733;-85,053;movimiento
0;0;0;1;0;0;2018;9,611;-84,628;movimiento
0;0;0;1;0;0;2018;10,087;-84,469;quema
0;0;0;1;0;0;2018;10,497;-84,916;quema
0;0;0;1;0;0;2018;9,185;-83,339;quema
0;0;0;1;0;0;2018;8,369;-83,144;contaminacion
0;0;0;1;0;0;2018;10,538;-83,502;movimiento
0;0;0;1;0;0;2019;9,378;-84,142;movimiento
0;0;0;1;0;0;2019;10,297;-85,841;quema
0;0;0;1;0;0;2019;10,528;-83,499;quema
0;0;0;1;0;0;2019;9,997;-84,113;quema
0;0;0;1;0;0;2019;9,931;-84,072;movimiento
0;0;0;1;0;0;2019;10,137;-84,478;quema
0;0;0;1;0;0;2019;9,872;-83,677;movimiento
0;0;0;1;0;0;2019;9,741;-84,582;movimiento
0;0;0;1;0;0;2019;9,426;-84,138;erosion
0;0;0;1;0;0;2019;9,418;-84,161;movimiento
0;0;0;1;0;0;2019;9,976;-84,16;contaminacion
0;0;0;1;0;0;2019;10,465;-85,777;movimiento
0;0;0;1;0;0;2019;9,613;-84,624;movimiento
0;0;0;1;0;0;2019;9,878;-85,522;contaminacion
0;0;0;1;0;0;2019;9,249;-83,863;movimiento
0;0;0;1;0;0;2019;10,041;-84,379;contaminacion
0;0;0;1;0;0;2019;10,493;-84,688;contaminacion
0;0;0;1;0;0;2019;9,173;-83,744;erosion
0;0;0;0;1;0;2018;9,253;-83,864;caceria
0;0;0;0;1;0;2018;8,647;-82,942;tenencia ilegal
0;0;0;0;1;0;2018;9,391;-84,152;comercio
0;0;0;0;1;0;2018;10,468;-84,645;caceria
0;0;0;0;1;0;2018;10,471;-84,672;caceria
0;0;0;0;1;0;2018;10,432;-84,735;caceria
0;0;0;0;1;0;2018;9,613;-84,63;tenencia ilegal
0;0;0;0;1;0;2019;10,825;-85,466;caceria
0;0;0;0;1;0;2019;9,933;-84,084;tenencia ilegal
0;0;0;0;1;0;2019;9,642;-82,732;caceria
0;0;0;0;1;0;2019;10,768;-83,596;caceria
0;0;0;0;1;0;2019;9,935;-84,075;caceria
0;0;0;0;1;0;2019;10,452;-84,652;caceria
0;0;0;0;1;0;2019;9,98;-84,321;caceria
0;0;0;0;1;0;2019;9,955;-84,046;caceria
0;0;0;0;1;0;2019;10,624;-85,436;caceria
0;0;0;0;1;0;2019;9,926;-84,103;tenencia ilegal
